"Número do Pedido,""Data do Pedido"",""Número do DAS"",""PA"",""Data do pagamento"",""Número do Processo RFB"",""Situação""";;;;;;;;;;;;;;;;;
"20210008052,""06/05/2021"",""07.20.19140.1312497-7"",""04/2019"",""20/05/2019"",""11065-727.890/2021-03"",""Deferido Total""";;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
"20210008074,""06/05/2021"",""07.20.19256.6279757-9"",""08/2019"",""23/09/2019"",""11065-727.891/2021-40"",""Deferido Total""";;;;;;;;;;;;;;;;;
"20210008083,""06/05/2021"",""07.20.19275.5984942-8"",""09/2019"",""21/10/2019"",""11065-727.892/2021-94"",""Deferido Total""";;;;;;;;;;;;;;;;;
"20210008089,""06/05/2021"",""07.20.19322.5369048-7"",""10/2019"",""20/11/2019"",""11065-727.893/2021-39"",""Deferido Total""";;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
"20210008097,""06/05/2021"",""07.20.20289.2026508-9"",""12/2019"",""15/10/2020"",""11065-727.894/2021-83"",""Deferido Total""";;;;;;;;;;;;;;;;;
"20210008129,""06/05/2021"",""07.20.20048.7669888-7"",""01/2020"",""18/02/2020"",""11065-727.895/2021-28"",""Deferido Total""";;;;;;;;;;;;;;;;;
"20210008138,""06/05/2021"",""07.20.20114.6063317-4"",""02/2020"",""23/04/2020"",""11065-727.896/2021-72"",""Deferido Total""";;;;;;;;;;;;;;;;;
"20210008341,""06/05/2021"",""07.20.20108.9548027-6"",""03/2020"",""28/04/2020"",""11065-727.897/2021-17"",""Deferido Total""";;;;;;;;;;;;;;;;;
"20210008345,""06/05/2021"",""07.20.20125.8501575-0"",""04/2020"",""02/06/2020"",""11065-727.898/2021-61"",""Deferido Total""";;;;;;;;;;;;;;;;;
"20210008349,""06/05/2021"",""07.20.20170.7103329-9"",""05/2020"",""02/07/2020"",""11065-727.899/2021-14"",""Deferido Total""";;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
"20210008432,""06/05/2021"",""07.20.20235.2300920-4"",""07/2020"",""24/08/2020"",""11065-727.900/2021-01"",""Deferido Total""";;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
"20210008438,""06/05/2021"",""07.20.20280.5663168-2"",""09/2020"",""20/10/2020"",""11065-727.901/2021-47"",""Deferido Total""";;;;;;;;;;;;;;;;;
"20210008446,""06/05/2021"",""07.20.20321.4611918-0"",""10/2020"",""20/11/2020"",""11065-727.902/2021-91"",""Deferido Total""";;;;;;;;;;;;;;;;;
"20210008454,""06/05/2021"",""07.20.20346.6041170-0"",""11/2020"",""21/12/2020"",""11065-727.903/2021-36"",""Deferido Total""";;;;;;;;;;;;;;;;;
"20210008459,""06/05/2021"",""07.20.21006.4119014-3"",""12/2020"",""20/01/2021"",""11065-727.904/2021-81"",""Deferido Total""";;;;;;;;;;;;;;;;;
"20210008469,""06/05/2021"",""07.20.21041.5562529-9"",""01/2021"",""22/02/2021"",""11065-727.905/2021-25"",""Deferido Total""";;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;R$ 2.083,98;R$ 8.128,54
